tweet_id,favorites,retweets,date_time
833863086058651648,13890,2527,2017-02-21 02:17:06
833826103416520705,18665,3941,2017-02-20 23:50:09
833732339549220864,0,227,2017-02-20 17:37:34
833722901757046785,21488,3396,2017-02-20 17:00:04
833479644947025920,15382,2171,2017-02-20 00:53:27
833124694597443584,20941,5106,2017-02-19 01:23:00
832998151111966721,13769,2340,2017-02-18 17:00:10
832769181346996225,0,39,2017-02-18 01:50:19
832757312314028032,17441,3827,2017-02-18 01:03:09
832682457690300417,12320,3096,2017-02-17 20:05:43
832645525019123713,3030,550,2017-02-17 17:38:57
832636094638288896,16432,2936,2017-02-17 17:01:29
832397543355072512,12367,2343,2017-02-17 01:13:34
832369877331693569,17810,3364,2017-02-16 23:23:38
832273440279240704,11733,2461,2017-02-16 17:00:25
832215909146226688,0,6554,2017-02-16 13:11:49
832215726631055365,0,9916,2017-02-16 13:11:05
832088576586297345,68,2,2017-02-16 04:45:50
832040443403784192,0,10255,2017-02-16 01:34:34
832032802820481025,18515,4925,2017-02-16 01:04:13
831939777352105988,24878,6483,2017-02-15 18:54:34
831926988323639298,354,35,2017-02-15 18:03:45
831911600680497154,28696,6904,2017-02-15 17:02:36
831670449226514432,10841,1921,2017-02-15 01:04:21
831650051525054464,7463,2058,2017-02-14 23:43:18
831552930092285952,9319,2424,2017-02-14 17:17:22
831322785565769729,9584,1625,2017-02-14 02:02:51
831315979191906304,6776,1186,2017-02-14 01:35:49
831309418084069378,12181,2591,2017-02-14 01:09:44
831262627380748289,12366,2164,2017-02-13 22:03:49
830956169170665475,8278,1580,2017-02-13 01:46:03
830583320585068544,69478,17819,2017-02-12 01:04:29
830173239259324417,0,6036,2017-02-10 21:54:58
830097400375152640,10208,3175,2017-02-10 16:53:37
829878982036299777,0,5337,2017-02-10 02:25:42
829861396166877184,12705,2081,2017-02-10 01:15:49
829501995190984704,32980,11274,2017-02-09 01:27:41
829449946868879360,10873,2147,2017-02-08 22:00:52
829141528400556032,25425,7860,2017-02-08 01:35:19
829011960981237760,55149,17220,2017-02-07 17:00:28
828801551087042563,0,3601,2017-02-07 03:04:22
828770345708580865,26573,6224,2017-02-07 01:00:22
828708714936930305,38047,11932,2017-02-06 20:55:28
828650029636317184,9894,1430,2017-02-06 17:02:17
828409743546925057,6574,1221,2017-02-06 01:07:28
828408677031882754,7983,1371,2017-02-06 01:03:14
828381636999917570,13130,2365,2017-02-05 23:15:47
828376505180889089,7685,1135,2017-02-05 22:55:23
828372645993398273,13063,3143,2017-02-05 22:40:03
828361771580813312,2289,179,2017-02-05 21:56:51
828046555563323392,12229,3044,2017-02-05 01:04:17
828011680017821696,10774,2281,2017-02-04 22:45:42
827933404142436356,20922,5553,2017-02-04 17:34:40
827653905312006145,16081,3196,2017-02-03 23:04:02
827600520311402496,7707,1007,2017-02-03 19:31:54
827324948884643840,16497,3253,2017-02-03 01:16:53
827199976799354881,11004,2385,2017-02-02 17:00:17
826958653328592898,22456,5337,2017-02-02 01:01:21
826848821049180160,37948,10875,2017-02-01 17:44:55
826615380357632002,0,4205,2017-02-01 02:17:19
826598799820865537,5316,267,2017-02-01 01:11:25
826598365270007810,10482,2499,2017-02-01 01:09:42
826476773533745153,19205,4472,2017-01-31 17:06:32
826240494070030336,13820,2755,2017-01-31 01:27:39
826204788643753985,5077,990,2017-01-30 23:05:46
826115272272650244,16327,3340,2017-01-30 17:10:04
825876512159186944,10901,1997,2017-01-30 01:21:19
825829644528148480,13276,2651,2017-01-29 22:15:05
825535076884762624,54402,18331,2017-01-29 02:44:34
825147591692263424,19091,4858,2017-01-28 01:04:51
825120256414846976,0,1365,2017-01-27 23:16:13
825026590719483904,6613,1365,2017-01-27 17:04:02
824796380199809024,0,5857,2017-01-27 01:49:15
824775126675836928,15606,3749,2017-01-27 00:24:48
824663926340194305,10524,1853,2017-01-26 17:02:56
824325613288833024,12313,11100,2017-01-25 18:38:36
824297048279236611,15733,4124,2017-01-25 16:45:05
824025158776213504,4993,628,2017-01-24 22:44:42
823939628516474880,11110,2896,2017-01-24 17:04:50
823719002937630720,0,11962,2017-01-24 02:28:08
823699002998870016,14531,2674,2017-01-24 01:08:40
823581115634085888,13606,2823,2017-01-23 17:20:14
823333489516937216,731,26,2017-01-23 00:56:15
823322678127919110,16440,4282,2017-01-23 00:13:17
823269594223824897,0,10504,2017-01-22 20:42:21
822975315408461824,18064,3680,2017-01-22 01:12:59
822872901745569793,138034,46828,2017-01-21 18:26:02
822859134160621569,13842,2439,2017-01-21 17:31:20
822647212903690241,0,6845,2017-01-21 03:29:14
822610361945911296,15455,3164,2017-01-21 01:02:48
822489057087389700,18988,6845,2017-01-20 17:00:46
822462944365645825,29644,15607,2017-01-20 15:17:01
822244816520155136,36577,10504,2017-01-20 00:50:15
822163064745328640,0,5130,2017-01-19 19:25:24
821886076407029760,11850,2497,2017-01-19 01:04:45
821813639212650496,0,3576,2017-01-18 20:16:54
821765923262631936,8799,1774,2017-01-18 17:07:18
821522889702862852,8397,1899,2017-01-18 01:01:34
821421320206483457,0,5980,2017-01-17 18:17:58
821407182352777218,12323,4645,2017-01-17 17:21:47
821153421864615936,264,10,2017-01-17 00:33:26
821149554670182400,9105,2156,2017-01-17 00:18:04
821107785811234820,10035,2273,2017-01-16 21:32:06
821044531881721856,13243,2452,2017-01-16 17:20:45
820837357901512704,0,7170,2017-01-16 03:37:31
820749716845686786,32976,10587,2017-01-15 21:49:15
820690176645140481,12776,3450,2017-01-15 17:52:40
820494788566847489,0,605,2017-01-15 04:56:16
820446719150292993,0,2765,2017-01-15 01:45:15
820314633777061888,3492,605,2017-01-14 17:00:24
820078625395449857,20740,6724,2017-01-14 01:22:35
820013781606658049,0,1269,2017-01-13 21:04:55
819952236453363712,5574,1269,2017-01-13 17:00:21
819924195358416896,13483,5183,2017-01-13 15:08:56
819711362133872643,14076,3354,2017-01-13 01:03:12
819588359383371776,10040,2111,2017-01-12 16:54:26
819347104292290561,7561,1290,2017-01-12 00:55:47
819238181065359361,2394,431,2017-01-11 17:42:57
819227688460238848,24184,7170,2017-01-11 17:01:16
819015337530290176,0,39435,2017-01-11 02:57:27
819015331746349057,0,20317,2017-01-11 02:57:26
819006400881917954,47390,20317,2017-01-11 02:21:57
819004803107983360,90922,39435,2017-01-11 02:15:36
818646164899774465,0,22385,2017-01-10 02:30:30
818627210458333184,23271,8009,2017-01-10 01:15:10
818614493328580609,10326,2764,2017-01-10 00:24:38
818588835076603904,0,6587,2017-01-09 22:42:41
818536468981415936,11429,2650,2017-01-09 19:14:36
818307523543449600,0,8719,2017-01-09 04:04:51
818259473185828864,11555,2448,2017-01-09 00:53:55
818145370475810820,12862,2774,2017-01-08 17:20:31
817908911860748288,5085,846,2017-01-08 01:40:55
817827839487737858,54310,29172,2017-01-07 20:18:46
817777686764523521,11233,2872,2017-01-07 16:59:28
817536400337801217,12372,3265,2017-01-07 01:00:41
817502432452313088,0,3643,2017-01-06 22:45:43
817423860136083457,35742,15990,2017-01-06 17:33:29
817415592588222464,5876,1033,2017-01-06 17:00:38
817181837579653120,0,9112,2017-01-06 01:31:47
817171292965273600,9157,2162,2017-01-06 00:49:53
817120970343411712,12789,2808,2017-01-05 21:29:55
817056546584727552,9003,1766,2017-01-05 17:13:55
816829038950027264,0,5043,2017-01-05 02:09:53
816816676327063552,10520,2179,2017-01-05 01:20:46
816697700272001025,10278,2359,2017-01-04 17:27:59
816450570814898180,32065,8719,2017-01-04 01:05:59
816336735214911488,9027,2093,2017-01-03 17:33:39
816091915477250048,9387,2318,2017-01-03 01:20:49
816062466425819140,0,1120,2017-01-02 23:23:48
816014286006976512,0,5691,2017-01-02 20:12:21
815990720817401858,5226,1120,2017-01-02 18:38:42
815966073409433600,23527,9112,2017-01-02 17:00:46
815745968457060357,0,4441,2017-01-02 02:26:09
815736392542261248,10338,2438,2017-01-02 01:48:06
